iter	Passed	Remaining
140	1679	3085
141	1692	3074
142	1703	3061
143	1713	3046
144	1725	3033
145	1736	3021
146	1747	3007
147	1757	2992
148	1768	2979
149	1780	2966
150	1793	2958
151	1805	2945
152	1815	2931
153	1827	2918
154	1837	2905
155	1850	2893
156	1862	2882
157	1873	2870
158	1886	2859
159	1900	2850
160	1912	2838
161	1925	2828
162	1937	2816
163	1950	2806
164	1962	2794
165	1975	2785
166	1988	2773
167	2000	2762
168	2026	2769
169	2038	2758
170	2055	2753
171	2069	2743
172	2082	2732
173	2094	2720
174	2108	2711
175	2122	2701
176	2136	2691
177	2148	2679
178	2161	2668
179	2173	2656
180	2187	2646
181	2200	2635
182	2214	2625
183	2226	2614
184	2241	2605
185	2254	2594
186	2265	2580
187	2278	2568
188	2291	2558
189	2303	2546
190	2318	2537
191	2344	2540
192	2357	2528
193	2369	2516
194	2382	2505
195	2395	2493
196	2408	2481
197	2423	2472
198	2441	2466
199	2453	2453
200	2464	2440
201	2477	2428
202	2489	2415
203	2502	2404
204	2513	2391
205	2527	2380
206	2545	2372
207	2558	2361
208	2571	2350
209	2584	2337
210	2597	2326
211	2610	2315
212	2625	2304
213	2639	2294
214	2653	2282
215	2664	2270
216	2677	2258
217	2690	2245
218	2702	2233
219	2716	2222
220	2730	2211
221	2744	2200
222	2757	2188
223	2771	2177
224	2785	2166
225	2802	2157
226	2815	2145
227	2827	2132
228	2841	2121
229	2853	2108
230	2867	2097
231	2880	2085
232	2896	2076
233	2908	2063
234	2919	2049
235	2932	2037
236	2943	2024
237	2956	2012
238	2969	2000
239	2981	1987
240	2993	1974
241	3005	1962
242	3018	1950
243	3031	1937
244	3045	1926
245	3057	1914
246	3069	1901
247	3084	1890
248	3098	1879
249	3112	1867
250	3124	1854
251	3136	1842
252	3149	1830
253	3161	1817
254	3174	1804
255	3187	1793
256	3204	1782
257	3216	1770
258	3229	1758
259	3243	1746
260	3255	1733
261	3269	1722
262	3283	1710
263	3296	1697
264	3309	1685
265	3322	1673
266	3341	1664
267	3352	1651
268	3364	1638
269	3378	1626
270	3391	1614
271	3405	1602
272	3417	1589
273	3431	1577
274	3445	1566
275	3457	1553
276	3470	1540
277	3481	1527
278	3494	1515
279	3509	1504
280	3520	1490
281	3531	1477
282	3543	1465
283	3554	1451
284	3567	1439
285	3580	1427
286	3592	1414
287	3603	1401
288	3615	1388
289	3625	1375
290	3637	1362
291	3649	1349
292	3660	1336
293	3671	1323
294	3683	1311
295	3695	1298
296	3707	1285
297	3718	1272
298	3730	1260
299	3742	1247
300	3754	1234
301	3766	1222
302	3778	1209
303	3789	1196
304	3800	1183
305	3811	1170
306	3822	1158
307	3834	1145
308	3845	1132
309	3857	1119
310	3869	1107
311	3881	1094
312	3893	1082
313	3904	1069
314	3915	1056
315	3926	1043
316	3937	1030
317	3948	1018
318	3959	1005
319	3970	992
320	3983	980
321	3994	967
322	4006	955
323	4017	942
324	4028	929
325	4040	917
326	4051	904
327	4063	891
328	4074	879
329	4087	867
330	4098	854
331	4109	841
332	4121	829
333	4132	816
334	4144	804
335	4155	791
336	4166	778
337	4178	766
338	4189	753
339	4200	741
340	4212	728
341	4223	716
342	4238	704
343	4248	691
344	4260	679
345	4272	666
346	4284	654
347	4295	641
348	4306	629
349	4317	616
350	4329	604
351	4341	591
352	4353	579
353	4365	567
354	4379	555
355	4390	542
356	4400	530
357	4411	517
358	4423	505
359	4434	492
360	4445	480
361	4457	467
362	4469	455
363	4481	443
364	4493	430
365	4504	418
366	4515	406
367	4526	393
368	4539	381
369	4551	369
370	4563	356
371	4576	344
372	4588	332
373	4600	319
374	4611	307
375	4622	295
376	4634	282
377	4647	270
378	4658	258
379	4671	245
380	4683	233
381	4693	221
382	4704	208
383	4715	196
384	4727	184
385	4738	171
386	4750	159
387	4761	147
388	4774	135
389	4787	122
390	4798	110
391	4809	98
392	4821	85
393	4833	73
394	4845	61
395	4857	49
396	4869	36
397	4880	24
398	4893	12
399	4905	0
